39.16,-105.31,2086.70,0.00
38.08,-103.35,1211.60,0.00
38.66,-106.85,2440.20,0.00
37.79,-107.67,2804.20,0.00
39.04,-106.27,2717.30,0.00
37.57,-107.78,2292.10,1.02
39.63,-106.52,2467.79,3.52
39.34,-108.94,1529.20,0.00
39.56,-105.06,1676.40,0.06
38.33,-107.78,1926.00,0.57
38.94,-104.74,2036.10,0.00
38.18,-107.76,2127.50,0.38
40.43,-105.34,1880.60,0.00
38.05,-107.86,2822.50,6.92
37.69,-106.46,2432.30,0.25
39.72,-104.94,1620.89,0.00
39.83,-104.96,1557.50,0.00
40.53,-106.78,2560.30,0.00
39.87,-106.33,2436.90,1.40
38.79,-104.86,1914.10,0.00
38.83,-107.96,1658.10,0.00
37.98,-107.76,3398.50,0.38
40.09,-105.92,2504.00,1.02
40.41,-104.66,1412.51,0.00
39.46,-105.66,2614.00,0.00
38.54,-106.95,2333.20,0.00
38.97,-105.58,2625.20,0.00
39.92,-104.87,1524.90,1.27
40.60,-105.17,1615.40,0.00
39.74,-105.52,2556.87,0.00
37.93,-107.69,3109.00,0.13
37.81,-106.32,2447.50,0.00
40.79,-105.25,1741.90,0.00
39.46,-104.89,1948.28,0.00
37.49,-103.83,1458.50,0.00
39.44,-104.98,1743.50,0.00
37.17,-107.58,2026.90,0.00
39.69,-105.70,2828.50,4.26
40.50,-108.03,1798.30,0.00
38.44,-107.64,2456.00,12.10
37.61,-106.15,2334.80,0.00
37.09,-106.69,2420.40,0.00
38.31,-104.58,1487.76,0.00
38.30,-104.59,1475.04,0.00
38.08,-107.69,2462.80,0.44
38.39,-105.02,1530.70,0.00
37.17,-104.51,1822.70,0.00
39.63,-107.76,1767.80,0.00
39.65,-105.03,1609.70,0.13
38.23,-107.54,2720.70,4.07
39.99,-105.26,1679.00,3.30
39.41,-105.17,1852.60,0.25
40.07,-102.05,1021.10,0.00
37.17,-104.51,1912.59,0.00
39.17,-105.12,2267.70,0.00
39.08,-106.54,3191.30,0.00
38.24,-107.76,2980.00,0.51
37.48,-107.54,2409.80,0.00
39.14,-105.16,2292.10,0.00
38.97,-104.90,2188.50,0.00
40.15,-103.14,1382.90,0.00
40.57,-104.72,1496.60,2.29
38.22,-104.34,1396.00,0.00
37.39,-105.56,2363.70,0.00
38.83,-106.13,2407.90,0.00
40.59,-104.32,1480.70,0.00
39.34,-102.20,1239.90,0.00
38.91,-107.93,1951.90,0.00
38.43,-105.18,1607.20,0.00
40.87,-106.34,2406.40,0.00
37.71,-106.14,2347.60,0.00
37.83,-106.04,2318.90,0.00
37.22,-108.67,1833.40,5.59
38.73,-108.12,1527.00,0.00
37.73,-108.95,2010.20,5.08
39.79,-103.80,1495.70,0.00
39.18,-108.70,1377.40,0.00
40.59,-105.14,1560.60,0.00
40.65,-105.00,1557.50,0.51
40.00,-104.85,1540.80,1.52
38.14,-104.03,1321.30,0.00
40.45,-104.64,1427.40,5.08
40.55,-106.39,2490.20,0.00
38.07,-102.09,1108.30,0.00
38.14,-102.24,1088.10,0.00
37.29,-104.31,1714.50,0.00
38.79,-107.79,1690.70,0.00
40.67,-102.65,1231.40,0.00
40.50,-107.18,1967.20,0.00
40.49,-102.09,1138.40,0.00
39.73,-102.30,1211.60,0.00
40.77,-103.05,1164.90,0.00
39.66,-102.62,1284.10,0.00
40.38,-104.53,1409.70,5.59
37.98,-102.60,1150.90,0.00
37.98,-102.71,1194.20,0.00
38.15,-102.60,1129.30,0.00
40.61,-106.30,2515.20,0.00
40.48,-104.71,1447.80,1.02
37.26,-105.96,2315.00,0.00
38.08,-103.37,1207.00,0.00
38.15,-102.86,1187.20,0.00
40.33,-104.63,1425.20,10.41
37.32,-108.34,2051.30,0.51
39.04,-108.46,1402.10,0.00
38.64,-108.05,1622.80,3.05
38.61,-108.07,1661.20,0.25
40.42,-102.47,1181.10,0.00
40.31,-104.73,1432.90,2.54
38.41,-105.00,1624.90,0.00
38.04,-103.69,1274.10,0.00
37.14,-105.61,2363.10,0.00
38.54,-102.50,1207.90,0.00
38.57,-106.04,2202.80,0.00
40.27,-103.01,1363.10,0.00
39.30,-102.52,1317.00,0.00
37.19,-108.94,1621.20,8.38
40.38,-104.35,1427.10,1.02
38.15,-105.50,2357.30,0.00
40.14,-106.42,2292.10,0.25
37.38,-102.29,1211.30,0.00
37.53,-108.72,2103.10,3.05
37.25,-108.69,1821.20,7.11
40.15,-102.72,1250.90,0.00
37.26,-108.50,2448.70,2.00
40.24,-108.97,1828.80,0.00
37.86,-103.82,1336.90,0.00
38.54,-107.69,2514.60,0.00
40.81,-104.75,1642.90,0.20
40.04,-105.54,2995.60,0.00
38.23,-103.28,1263.00,0.00
37.33,-105.07,3048.00,0.00
38.06,-103.69,1262.00,0.00
38.25,-104.61,1418.00,0.00
40.54,-103.27,1215.00,0.00
37.59,-103.65,1347.00,0.00
38.18,-103.77,1302.00,0.00
39.60,-106.51,2591.00,5.10
38.82,-104.89,1993.00,0.00
39.54,-106.04,2808.00,0.00
38.44,-109.04,2321.00,0.00
40.31,-105.64,2896.00,2.50
39.76,-107.36,3316.00,0.00
39.09,-106.54,3231.00,2.50
40.06,-107.01,2768.00,0.00
37.71,-107.51,3536.00,0.00
37.54,-103.93,1588.00,0.00
40.38,-105.51,2289.00,0.72
39.80,-105.78,3444.00,2.50
39.30,-106.11,3399.00,0.00
40.23,-106.60,2816.00,0.00
39.88,-107.60,2865.00,0.00
38.89,-106.95,3097.00,0.00
37.50,-104.06,1718.00,0.00
37.66,-107.80,2719.00,0.00
38.71,-104.72,1708.00,0.00
39.74,-105.00,1588.00,0.30
38.73,-106.16,2486.00,0.00
37.46,-104.00,1592.00,0.00
40.84,-102.81,1133.00,0.00
39.02,-106.24,2688.00,0.00
